,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
227,No,Yes,Very Good,Sabayil,131.0,25,Compleks Apartmants of Nizami street,Two-Bedroom Apartment,0.35,40.34018472008257,49.81870865057885
228,No,Yes,Score under 7,Other,45.0,1,28 May,One-Bedroom Apartment,2.1,,
229,No,Yes,Very Good,Sabayil,154.0,1,BAKU VILLA,Villa,4.2,40.34018472008257,49.81870865057885
230,No,No,Exceptional,Sabayil,87.0,14,Four seasons apartment by Baku Housing,One-Bedroom Apartment,0.8,40.34018472008257,49.81870865057885
231,No,Yes,,Nasimi,180.0,,VIP Apartment PANAMERA,Apartment with Sea View,0.25,40.39482299502607,49.82684828968684
232,Yes,No,Exceptional,Other,85.0,44,Merida Hotel Baku,Standard Double Room,,,
233,No,Yes,,Nasimi,135.0,,Baku luks 4 rooms,Three-Bedroom Apartment,0.6,40.39482299502607,49.82684828968684
234,No,Yes,Good,Sabayil,50.0,54,Caspian Pearl Boutique Hotel,Single Room,0.8,40.34018472008257,49.81870865057885
235,Yes,Yes,Score under 7,Other,60.0,55,Continental Hotel,Standard Single Room,5.1,,
236,Yes,Yes,Very Good,Sabayil,78.0,61,Royal Sapphire Hotel Baku,Standard Double Room,,40.34018472008257,49.81870865057885
237,No,Yes,,Other,280.0,,Apartment On Mc Donalds,Apartment,0.15,,
238,No,Yes,Exceptional,Nasimi,315.0,1,Deluxe Apartment on Tarqovu centr,Apartment with Balcony,0.15,40.39482299502607,49.82684828968684
239,No,Yes,,Sabayil,120.0,,Sea View Apartment On LEXUS,Apartment with Sea View,0.7,40.34018472008257,49.81870865057885
240,Yes,No,Very Good,Sabayil,,58,Atropat Old City Hotel,Single Standard,0.45,40.34018472008257,49.81870865057885
241,Yes,Yes,Score under 7,Sabayil,220.0,20,The Crescent Beach Hotel,Family Junior Suite,7.8,40.34018472008257,49.81870865057885
242,No,Yes,Exceptional,Other,75.0,48,Charming 2 Bedroom Apartment near the City's Biggest Mall,Apartment with Balcony,3.9,,
243,No,Yes,Exceptional,Other,108.0,2,Park Azure Louvre apartment,Two-Bedroom Apartment,3.4,,
244,No,Yes,Good,Yasamal,45.0,16,Budget Private Rooms,Budget Double Room,0.3,40.37910692339686,49.809651649057464
245,No,Yes,Very Good,Other,88.0,2,Park Azure Apartments,One-Bedroom Apartment,3.4,,
246,No,Yes,Exceptional,Sabayil,78.0,1,Mallacanes entire apartment,Two-Bedroom Apartment,0.35,40.34018472008257,49.81870865057885
247,No,Yes,Very Good,Other,59.0,1,SECRET HOTEL BAKU,Large Double Room,5.3,,
248,No,Yes,Exceptional,Sabayil,238.0,2,Apartment on MADO,Apartment,,40.34018472008257,49.81870865057885
249,No,Yes,,Sabayil,66.0,,AZNEFT SQUARE FAMILY APARTMENT,Two-Bedroom Apartment,,40.34018472008257,49.81870865057885
250,Yes,Yes,Very Good,Sabayil,88.0,6,Utopia Guest House,Standard King Room,0.5,40.34018472008257,49.81870865057885
251,No,Yes,Exceptional,Nasimi,71.0,1,"Apartment near 28 mall, in new boulding",Two-Bedroom Apartment,1.3,40.39482299502607,49.82684828968684
252,No,Yes,Exceptional,Yasamal,37.0,3,Art Hotel,Standard Twin Room,2.6,40.37910692339686,49.809651649057464
253,Yes,Yes,Very Good,Sabayil,35.0,126,Baku Exotica Hotel,Standard Single Room,2.4,40.34018472008257,49.81870865057885
254,Yes,No,Wonderful,Sabayil,52.0,37,sebail inn hotel,Deluxe King Suite,4.7,40.34018472008257,49.81870865057885
255,No,Yes,Very Good,Yasamal,60.0,3,Baku Azerbaijan House,One-Bedroom Apartment,2.1,40.37910692339686,49.809651649057464
256,Yes,No,Good,Nasimi,51.0,25,Diplomat Hotel Baku,Standard Single Room,,40.39482299502607,49.82684828968684
257,Yes,Yes,Good,Other,120.0,104,Porto Hotel Baku,Budget Double or Twin Room,,,
258,No,Yes,Wonderful,Nasimi,315.0,4,Bulvar Residance with a pool,Apartment,,40.39482299502607,49.82684828968684
259,Yes,Yes,Excellent,Sabayil,60.0,57,MidCity Hotel,Standard Double Room,1.1,40.34018472008257,49.81870865057885
260,Yes,Yes,Good,Nasimi,,39,Deluxe City Hotel,Double Single Use Standard,1.8,40.39482299502607,49.82684828968684
261,No,Yes,Excellent,Nasimi,145.0,12,Luxury Winter Park Hotel Apartments,One-Bedroom Apartment,0.8,40.39482299502607,49.82684828968684
262,No,Yes,Good,Sabayil,125.0,108,Sapphire Marine,Standard Double or Twin Room,7.5,40.34018472008257,49.81870865057885
