,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
918,No,Yes,Excellent,Other,50.0,101,Golden Way,Double Room,3.9,,
919,No,Yes,Exceptional,Old Tbilisi,107.0,58,Lebu Apartment TBS,Apartment,1.1,41.69209658252052,44.79406059228808
920,Yes,Yes,Very Good,Other,78.0,182,Chveni sakhli,Comfort Twin Room,6.1,,
921,Yes,No,Very Good,Old Tbilisi,125.0,805,Hotel Zeg,Double Room,0.35,41.69209658252052,44.79406059228808
922,Yes,Yes,Exceptional,Other,63.0,44,Veronika Home Tbilisi,Double Room with Balcony,5.3,,
923,No,Yes,,Old Tbilisi,16.0,,Biker Guesthouse,Mixed Dormitory Room,0.25,41.69209658252052,44.79406059228808
924,No,Yes,Very Good,Didube,61.0,132,The K Tbilisi,Standard Double Room,3.7,41.750520159335146,44.7815007925187
925,No,Yes,Wonderful,Chugureti,111.0,67,Iren river side apartments,One-Bedroom Apartment,,41.72340168819495,44.82088685166248
926,No,Yes,Wonderful,Other,41.0,29,Apartment Zaziashvili 30,Single Room with Bathroom,2.9,,
927,No,Yes,Exceptional,Old Tbilisi,78.0,11,Old Gold Anteon,Studio Apartment,0.25,41.69209658252052,44.79406059228808
928,No,No,Exceptional,Other,60.0,1,House at Ortachala,Apartment,2.3,,
929,No,Yes,Excellent,Chugureti,35.0,314,Hostel Violet,Large Double Room,2.6,41.72340168819495,44.82088685166248
930,No,Yes,Good,Vake,49.0,41,vake-house,Double Room,2.9,41.70553522376798,44.75495342831405
931,No,No,Very Good,Chugureti,100.0,46,Coral Boutique Hotel,Double or Twin Room,2.3,41.72340168819495,44.82088685166248
932,No,Yes,Exceptional,Old Tbilisi,82.0,103,Mimino T&G,Double Room with Garden View,0.9,41.69209658252052,44.79406059228808
933,No,Yes,Score under 7,Other,40.0,13,Hotel Texas,Single Room,8.7,,
934,No,Yes,Wonderful,Old Tbilisi,47.0,48,Guest House Marina 2,Double Room with Balcony,0.25,41.69209658252052,44.79406059228808
935,No,No,Good,Chugureti,58.0,29,English Home Hotel Tbilisi,Economy Double Room,2.2,41.72340168819495,44.82088685166248
936,No,Yes,,Other,129.0,,Natali Apartment,Three-Bedroom Apartment,2.8,,
937,Yes,No,Excellent,Old Tbilisi,138.0,494,Sole Palace,Double or Twin Room with Balcony,1.4,41.69209658252052,44.79406059228808
938,No,Yes,Wonderful,Chugureti,69.0,5,Apartment 55,One-Bedroom Apartment,1.6,41.72340168819495,44.82088685166248
939,No,Yes,Exceptional,Mtatsminda,174.0,11,Rustaveli Residence1,Two-Bedroom Apartment,0.5,41.693060457156996,44.78551384334914
940,No,No,Wonderful,Old Tbilisi,113.0,321,Hotel Frida,Superior Double or Twin Room,0.45,41.69209658252052,44.79406059228808
941,No,Yes,Excellent,Chugureti,61.0,4,Natia,One-Bedroom House,1.8,41.72340168819495,44.82088685166248
942,No,Yes,Exceptional,Chugureti,162.0,218,5 STAR APART HOTEL,Standard Studio,2.1,41.72340168819495,44.82088685166248
943,Yes,Yes,Good,Mtatsminda,107.0,52,Hotel Sanapiro Tbilisi,Deluxe Room,,41.693060457156996,44.78551384334914
944,No,Yes,Score under 7,Other,82.0,519,Hotel Lilo near Airport,Quadruple Room with Private Bathroom,3.3,,
945,No,No,Good,Old Tbilisi,44.0,100,Leila Apartment,Standard Apartment,0.15,41.69209658252052,44.79406059228808
946,No,Yes,Exceptional,Chugureti,67.0,180,NAIKE,Deluxe Double Room with Extra Bed,,41.72340168819495,44.82088685166248
947,No,Yes,,Old Tbilisi,85.0,,Cozy studio in old Tbilisi,One-Bedroom Apartment,0.3,41.69209658252052,44.79406059228808
